@relation jAudio
@ATTRIBUTE "Area Method of Moments of MFCCs Overall Average3" NUMERIC
@ATTRIBUTE classe {Gato, Cachorro}

@DATA
47120,Gato
97610,Gato
111600,Gato
191400,Gato
303300,Gato
385300,Gato
424400,Gato
427600,Gato
468700,Gato
479700,Gato
479700,Gato
471400,Gato
469800,Gato
470700,Gato
4.43E2,Gato
425300,Gato
396200,Gato
412900,Gato
401400,Gato
3.97E2,Gato
402600,Gato
423800,Gato
360600,Gato
307900,Gato
377400,Gato
492200,Gato
594500,Gato
642300,Gato
664700,Gato
770500,Gato
894200,Gato
889100,Gato
891500,Gato
912800,Gato
924200,Gato
937100,Gato
9.41E2,Gato
927300,Gato
907300,Gato
882300,Gato
878200,Gato
880700,Gato
864400,Gato
8.53E2,Gato
847200,Gato
858800,Gato
871700,Gato
873100,Gato
837200,Gato
779400,Gato
723700,Gato
647200,Gato
520400,Gato
457500,Gato
3.96E2,Gato
411300,Gato
518600,Gato
6.33E2,Gato
695100,Gato
700400,Gato
768400,Gato
822700,Gato
779400,Gato
737700,Gato
703200,Gato
683500,Gato
678800,Gato
736900,Gato
779100,Gato
744500,Gato
800900,Gato
900100,Gato
1014000,Gato
1.09E3,Gato
1127000,Gato
1.16E3,Gato
1139000,Gato
1136000,Gato
1278000,Gato
1.38E3,Gato
1409000,Gato
1499000,Gato
1575000,Gato
1664000,Gato
1729000,Gato
1788000,Gato
1818000,Gato
1836000,Gato
1902000,Gato
1944000,Gato
1979000,Gato
1989000,Gato
1965000,Gato
1953000,Gato
1977000,Gato
1937000,Gato
1.95E3,Gato
1968000,Gato
1991000,Gato
1937000,Gato
1848000,Gato
1822000,Gato
1794000,Gato
1759000,Gato
1706000,Gato
1661000,Gato
1648000,Gato
1.72E3,Gato
1775000,Gato
1.87E3,Gato
2.18E3,Gato
2.34E3,Gato
2396000,Gato
2451000,Gato
2512000,Gato
2537000,Gato
2545000,Gato
2557000,Gato
2574000,Gato
2623000,Gato
2697000,Gato
2762000,Gato
2959000,Gato
3317000,Gato
3.55E3,Gato
3.73E3,Cachorro
3842000,Cachorro
3921000,Cachorro
3941000,Cachorro
3962000,Cachorro
3967000,Cachorro
3976000,Cachorro
3.99E3,Cachorro
4015000,Cachorro
4056000,Cachorro
4107000,Cachorro
4137000,Cachorro
3984000,Cachorro
3933000,Cachorro
3943000,Cachorro
3.93E3,Cachorro
4008000,Cachorro
4115000,Cachorro
4153000,Cachorro
4194000,Cachorro
4338000,Cachorro
4521000,Cachorro
4.65E3,Cachorro
4749000,Cachorro
4809000,Cachorro
4862000,Cachorro
4814000,Cachorro
4777000,Cachorro
4791000,Cachorro
4849000,Cachorro
5091000,Cachorro
5278000,Cachorro
5381000,Cachorro
5469000,Cachorro
5.57E3,Cachorro
5664000,Cachorro
5854000,Cachorro
6151000,Cachorro
6.35E3,Cachorro
6441000,Cachorro
6508000,Cachorro
6561000,Cachorro
6649000,Cachorro
6776000,Cachorro
6957000,Cachorro
7132000,Cachorro
7192000,Cachorro
7361000,Cachorro
7503000,Cachorro
7708000,Cachorro
7886000,Cachorro
7988000,Cachorro
8062000,Cachorro
8128000,Cachorro
8192000,Cachorro
8232000,Cachorro
8.29E3,Cachorro
8349000,Cachorro
8421000,Cachorro
8511000,Cachorro
8657000,Cachorro
8783000,Cachorro
8923000,Cachorro
9103000,Cachorro
9218000,Cachorro
9.27E3,Cachorro
9315000,Cachorro
9361000,Cachorro
9413000,Cachorro
9486000,Cachorro
9567000,Cachorro
9645000,Cachorro
9704000,Cachorro
9765000,Cachorro
9893000,Cachorro
10010000,Cachorro
10050000,Cachorro
10090000,Cachorro
10190000,Cachorro
10320000,Cachorro
10420000,Cachorro
10470000,Cachorro
10470000,Cachorro
10590000,Cachorro
10710000,Cachorro
